action,count,ratio
0.185185|0.60|384|100,231,0.00240625
0.333333|0.60|256|100,231,0.00240625
0.333333|0.55|256|80,230,0.002395833333333333
0.333333|0.50|512|40,230,0.002395833333333333
0.185185|0.45|320|60,229,0.0023854166666666668
0.185185|0.45|384|100,229,0.0023854166666666668
0.333333|0.45|448|40,228,0.002375
0.259259|0.55|256|60,227,0.002364583333333333
0.259259|0.45|448|60,227,0.002364583333333333
0.333333|0.60|256|60,226,0.0023541666666666667
0.333333|0.45|256|80,226,0.0023541666666666667
0.185185|0.50|384|100,225,0.00234375
0.333333|0.60|320|100,225,0.00234375
0.333333|0.50|512|100,225,0.00234375
0.333333|0.55|256|100,224,0.0023333333333333335
0.185185|0.45|320|80,223,0.0023229166666666667
0.333333|0.55|512|40,222,0.0023125
0.333333|0.55|448|100,222,0.0023125
0.185185|0.60|448|100,220,0.0022916666666666667
0.333333|0.55|512|60,216,0.00225
0.259259|0.45|320|100,215,0.0022395833333333334
0.185185|0.60|320|100,214,0.0022291666666666666
0.333333|0.55|384|40,208,0.0021666666666666666
0.333333|0.60|384|100,207,0.00215625
0.333333|0.60|256|80,205,0.0021354166666666665
