timesteps,episode_reward,episode_cost,episode_len,unsafe_rate,tps,latency,mask_ratio,lagrangian_lambda,constraint_violation
12360,773.1748290061951,0.0,120,0.0,11664.681791334971,24.13349981527546,0.2710833333333333,0.0136207386352121,0.0
12480,772.4400000572205,0.0,120,0.0,11586.112767824814,24.296357309950857,0.2715208333333333,0.0136207386352121,0.0
12600,772.4400000572205,0.0,120,0.0,11586.112767824814,24.296357309950857,0.2715208333333333,0.0136207386352121,0.0
12720,772.4400000572205,0.0,120,0.0,11586.112767824814,24.296357309950857,0.2715208333333333,0.0136207386352121,0.0
12840,759.6437250375748,0.0,120,0.0,11709.471705467537,24.02895352689881,0.271125,0.0100207386352121,0.0
12960,749.661442399025,0.0,120,0.0,11756.553582857909,24.03004117507136,0.2671041666666667,0.0100207386352121,0.0
13080,749.661442399025,0.0,120,0.0,11756.553582857909,24.03004117507136,0.2671041666666667,0.0100207386352121,0.0
13200,749.661442399025,0.0,120,0.0,11756.553582857909,24.03004117507136,0.2671041666666667,0.0100207386352121,0.0
13320,754.1607083082199,0.0,120,0.0,11747.78151259166,24.066785173853805,0.267,0.0064207386352121,0.0
13440,769.1873316764832,0.0,120,0.0,11627.686950975516,24.122654273250703,0.2651041666666666,0.0064207386352121,0.0
13560,769.1873316764832,0.0,120,0.0,11627.686950975516,24.122654273250703,0.2651041666666666,0.0064207386352121,0.0
13680,769.1873316764832,0.0,120,0.0,11627.686950975516,24.122654273250703,0.2651041666666666,0.0064207386352121,0.0
13800,769.1873316764832,0.0,120,0.0,11627.686950975516,24.122654273250703,0.2651041666666666,0.0064207386352121,0.0
13920,757.428614616394,0.0,120,0.0,11661.45232078408,24.103786547609968,0.2689166666666666,0.0028207386352121,0.0
14040,757.0150218009949,0.0,120,0.0,11638.56497007669,24.19686914020256,0.2691666666666666,0.0028207386352121,0.0
14160,757.0150218009949,0.0,120,0.0,11638.56497007669,24.19686914020256,0.2691666666666666,0.0028207386352121,0.0
14280,757.0150218009949,0.0,120,0.0,11638.56497007669,24.19686914020256,0.2691666666666666,0.0028207386352121,0.0
14400,766.9236733913422,0.0,120,0.0,11717.328960496228,24.02717667461334,0.2654999999999999,0.0,0.0
14520,767.4560368061066,0.0,120,0.0,11710.449043411729,24.073113632364915,0.2651666666666666,0.0,0.0
14640,767.4560368061066,0.0,120,0.0,11710.449043411729,24.073113632364915,0.2651666666666666,0.0,0.0
14760,767.4560368061066,0.0,120,0.0,11710.449043411729,24.073113632364915,0.2651666666666666,0.0,0.0
14880,767.9261567592621,0.0,120,0.0,11706.277479999815,24.094528021190317,0.2650833333333333,0.0,0.0
15000,764.8002803325653,0.0,120,0.0,11665.281516323685,24.142084618126553,0.264875,0.0,0.0
15120,764.8002803325653,0.0,120,0.0,11665.281516323685,24.142084618126553,0.264875,0.0,0.0
15240,764.8002803325653,0.0,120,0.0,11665.281516323685,24.142084618126553,0.264875,0.0,0.0
15360,764.8002803325653,0.0,120,0.0,11665.281516323685,24.142084618126553,0.264875,0.0,0.0
15480,770.8771471977234,0.0,120,0.0,11764.053741236132,23.99987930600717,0.2651249999999999,0.0,0.0
15600,770.8771471977234,0.0,120,0.0,11764.053741236132,23.99987930600717,0.2651249999999999,0.0,0.0
15720,770.8771471977234,0.0,120,0.0,11764.053741236132,23.99987930600717,0.2651249999999999,0.0,0.0
15840,770.8771471977234,0.0,120,0.0,11764.053741236132,23.99987930600717,0.2651249999999999,0.0,0.0
15960,763.6660838127136,0.0,120,0.0,11732.071328008396,23.75029783357128,0.268,0.0,0.0
16080,760.5339331626892,0.0,120,0.0,11718.154715015076,23.81742933078123,0.2761874999999999,0.0,0.0
16200,760.5339331626892,0.0,120,0.0,11718.154715015076,23.81742933078123,0.2761874999999999,0.0,0.0
16320,760.5339331626892,0.0,120,0.0,11718.154715015076,23.81742933078123,0.2761874999999999,0.0,0.0
16440,741.9852271080017,0.0,120,0.0,11835.987597114696,24.808681085038476,0.2757708333333333,0.0,0.0
16560,767.2307014465332,0.0,120,0.0,11660.185944145784,24.028784083459733,0.2747083333333332,0.0,0.0
16680,767.2307014465332,0.0,120,0.0,11660.185944145784,24.028784083459733,0.2747083333333332,0.0,0.0
16800,767.2307014465332,0.0,120,0.0,11660.185944145784,24.028784083459733,0.2747083333333332,0.0,0.0
16920,374.9009234905243,0.0,120,0.0,11139.344189037982,24.83444708363867,0.2651458333333332,0.0,0.0
17040,229.19374975562096,0.0,120,0.0,11590.659317292164,24.43433612908706,0.2374791666666666,0.0,0.0
17160,229.19374975562096,0.0,120,0.0,11590.659317292164,24.43433612908706,0.2374791666666666,0.0,0.0
17280,229.19374975562096,0.0,120,0.0,11590.659317292164,24.43433612908706,0.2374791666666666,0.0,0.0
17400,229.19374975562096,0.0,120,0.0,11590.659317292164,24.43433612908706,0.2374791666666666,0.0,0.0
17520,511.6784472465515,0.0,120,0.0,11489.348320765042,25.660350089580668,0.25425,0.0,0.0
17640,511.6784472465515,0.0,120,0.0,11489.348320765042,25.660350089580668,0.25425,0.0,0.0
17760,511.6784472465515,0.0,120,0.0,11489.348320765042,25.660350089580668,0.25425,0.0,0.0
17880,511.6784472465515,0.0,120,0.0,11489.348320765042,25.660350089580668,0.25425,0.0,0.0
18000,510.63236236572266,0.0,120,0.0,11393.8744921342,25.848244143448948,0.2534166666666665,0.0,0.0
18120,660.177939414978,0.0,120,0.0,11325.212238462618,25.175741238738333,0.2663749999999999,0.0,0.0
18240,660.177939414978,0.0,120,0.0,11325.212238462618,25.175741238738333,0.2663749999999999,0.0,0.0
18360,660.177939414978,0.0,120,0.0,11325.212238462618,25.175741238738333,0.2663749999999999,0.0,0.0
18480,761.9537880420685,0.0,120,0.0,11519.532822893929,24.452791291293313,0.2643749999999999,0.0,0.0
18600,767.1402559280396,0.0,120,0.0,11494.701340983098,24.559691160292,0.2638541666666666,0.0,0.0
18720,767.1402559280396,0.0,120,0.0,11494.701340983098,24.559691160292,0.2638541666666666,0.0,0.0
18840,767.1402559280396,0.0,120,0.0,11494.701340983098,24.559691160292,0.2638541666666666,0.0,0.0
18960,581.4749032258987,0.0,120,0.0,11099.343224818866,24.14780179791538,0.2595208333333333,0.0,0.0
19080,759.6852195262909,0.0,120,0.0,11531.00474474548,24.333426643579138,0.2734583333333333,0.0,0.0
19200,759.6852195262909,0.0,120,0.0,11531.00474474548,24.333426643579138,0.2734583333333333,0.0,0.0
19320,759.6852195262909,0.0,120,0.0,11531.00474474548,24.333426643579138,0.2734583333333333,0.0,0.0
19440,759.6852195262909,0.0,120,0.0,11531.00474474548,24.333426643579138,0.2734583333333333,0.0,0.0
19560,767.546618938446,0.0,120,0.0,11571.677729292722,24.180975437503324,0.2742291666666668,0.0,0.0
19680,767.1086716651917,0.0,120,0.0,11533.385519785732,24.285853306884373,0.2762083333333333,0.0,0.0
19800,767.1086716651917,0.0,120,0.0,11533.385519785732,24.285853306884373,0.2762083333333333,0.0,0.0
19920,767.1086716651917,0.0,120,0.0,11533.385519785732,24.285853306884373,0.2762083333333333,0.0,0.0
20040,745.1035704612732,0.0,120,0.0,11791.317180970776,24.968561381377057,0.2738333333333334,0.0,0.0
20160,736.0018649101257,0.0,120,0.0,11769.631628113557,25.10030318556247,0.2663958333333334,0.0,0.0
20280,736.0018649101257,0.0,120,0.0,11769.631628113557,25.10030318556247,0.2663958333333334,0.0,0.0
20400,736.0018649101257,0.0,120,0.0,11769.631628113557,25.10030318556247,0.2663958333333334,0.0,0.0
20520,767.6979875564575,0.0,120,0.0,11707.683995182266,24.067889570680222,0.2678541666666666,0.0,0.0
20640,771.1048083305359,0.0,120,0.0,11778.512073605025,23.96151486330559,0.2690208333333333,0.0,0.0
20760,771.1048083305359,0.0,120,0.0,11778.512073605025,23.96151486330559,0.2690208333333333,0.0,0.0
20880,771.1048083305359,0.0,120,0.0,11778.512073605025,23.96151486330559,0.2690208333333333,0.0,0.0
21000,747.743709564209,0.0,120,0.0,11791.537977784335,24.9912007640633,0.267875,0.0,0.0
21120,769.2534279823303,0.0,120,0.0,11574.092167908231,24.350632660078738,0.2677083333333333,0.0,0.0
21240,769.2534279823303,0.0,120,0.0,11574.092167908231,24.350632660078738,0.2677083333333333,0.0,0.0
21360,769.2534279823303,0.0,120,0.0,11574.092167908231,24.350632660078738,0.2677083333333333,0.0,0.0
21480,769.2534279823303,0.0,120,0.0,11574.092167908231,24.350632660078738,0.2677083333333333,0.0,0.0
21600,750.8319592475891,0.0,120,0.0,11796.73782352038,24.856947227093443,0.2706874999999999,0.0,0.0
21720,750.8319592475891,0.0,120,0.0,11796.73782352038,24.856947227093443,0.2706874999999999,0.0,0.0
21840,750.8319592475891,0.0,120,0.0,11796.73782352038,24.856947227093443,0.2706874999999999,0.0,0.0
21960,750.8319592475891,0.0,120,0.0,11796.73782352038,24.856947227093443,0.2706874999999999,0.0,0.0
22080,740.2762024402618,0.0,120,0.0,11855.68253941727,24.615845500894594,0.2721249999999999,0.0,0.0
22200,736.1482744216919,0.0,120,0.0,11767.220214942528,24.69086146456,0.2702083333333333,0.0,0.0
22320,736.1482744216919,0.0,120,0.0,11767.220214942528,24.69086146456,0.2702083333333333,0.0,0.0
22440,736.1482744216919,0.0,120,0.0,11767.220214942528,24.69086146456,0.2702083333333333,0.0,0.0
22560,769.3248507976532,0.0,120,0.0,11768.443730799972,23.67571615180684,0.2690624999999999,0.0,0.0
22680,774.2091307640076,0.0,120,0.0,11673.666692504585,23.919102045330956,0.2673124999999999,0.0,0.0
22800,774.2091307640076,0.0,120,0.0,11673.666692504585,23.919102045330956,0.2673124999999999,0.0,0.0
22920,774.2091307640076,0.0,120,0.0,11673.666692504585,23.919102045330956,0.2673124999999999,0.0,0.0
23040,774.2091307640076,0.0,120,0.0,11673.666692504585,23.919102045330956,0.2673124999999999,0.0,0.0
23160,773.176050901413,0.0,120,0.0,11695.67951191341,24.10909170371075,0.2661874999999999,0.0,0.0
23280,773.176050901413,0.0,120,0.0,11695.67951191341,24.10909170371075,0.2661874999999999,0.0,0.0
23400,773.176050901413,0.0,120,0.0,11695.67951191341,24.10909170371075,0.2661874999999999,0.0,0.0
23520,773.176050901413,0.0,120,0.0,11695.67951191341,24.10909170371075,0.2661874999999999,0.0,0.0
23640,768.9112660884857,0.0,120,0.0,11772.468323172034,24.000318503143394,0.2643125,0.0,0.0
23760,774.4303998947144,0.0,120,0.0,11579.125038052636,24.180264653251125,0.267375,0.0,0.0
23880,774.4303998947144,0.0,120,0.0,11579.125038052636,24.180264653251125,0.267375,0.0,0.0
24000,774.4303998947144,0.0,120,0.0,11579.125038052636,24.180264653251125,0.267375,0.0,0.0
24120,777.0459542274475,0.0,120,0.0,11614.285051659335,24.086737841129228,0.2671458333333333,0.0,0.0
24240,779.7689559459686,0.0,120,0.0,11825.07626800558,23.546370773671573,0.2647291666666666,0.0,0.0
24360,779.7689559459686,0.0,120,0.0,11825.07626800558,23.546370773671573,0.2647291666666666,0.0,0.0
24480,779.7689559459686,0.0,120,0.0,11825.07626800558,23.546370773671573,0.2647291666666666,0.0,0.0
24600,778.7879321575165,0.0,120,0.0,11792.516949817167,23.635085502983134,0.2638124999999999,0.0,0.0
24720,771.8868107795715,0.0,120,0.0,11760.42673433135,23.587530626108713,0.2643541666666666,0.0,0.0
24840,771.8868107795715,0.0,120,0.0,11760.42673433135,23.587530626108713,0.2643541666666666,0.0,0.0
24960,771.8868107795715,0.0,120,0.0,11760.42673433135,23.587530626108713,0.2643541666666666,0.0,0.0
25080,771.8868107795715,0.0,120,0.0,11760.42673433135,23.587530626108713,0.2643541666666666,0.0,0.0
25200,765.6247663497925,0.0,120,0.0,11824.72403896344,23.5030326650974,0.2634583333333332,0.0,0.0
25320,765.6247663497925,0.0,120,0.0,11824.72403896344,23.5030326650974,0.2634583333333332,0.0,0.0
25440,765.6247663497925,0.0,120,0.0,11824.72403896344,23.5030326650974,0.2634583333333332,0.0,0.0
25560,765.6247663497925,0.0,120,0.0,11824.72403896344,23.5030326650974,0.2634583333333332,0.0,0.0
25680,756.3880673646927,0.0,120,0.0,11965.936600180972,23.357745367855493,0.2663124999999999,0.0,0.0
